administrative_code,status,page_path,geonameid,reviewed_by,reviewed_at,quality_gate_version
150800,researched,destinations/中国/内蒙古自治区/巴彦淖尔市.md,11838258,codex,2026-07-30,1
150900,researched,destinations/中国/内蒙古自治区/乌兰察布市.md,8335361,codex,2026-07-31,1
150981,researched,destinations/中国/内蒙古自治区/丰镇市.md,2037391,codex,2026-08-13,1
152201,researched,destinations/中国/内蒙古自治区/乌兰浩特市.md,2034312,codex,2026-08-12,1
152502,researched,destinations/中国/内蒙古自治区/锡林浩特市.md,8054802,codex,2026-08-12,1
210100,researched,destinations/中国/辽宁省/沈阳市.md,2034937,codex,2026-07-30,1
210181,researched,destinations/中国/辽宁省/新民市.md,2033675,codex,2026-08-13,1
210200,researched,destinations/中国/辽宁省/大连市.md,1814087,codex,2026-07-30,1
210281,researched,destinations/中国/辽宁省/瓦房店市.md,1792260,codex,2026-08-11,1
210283,researched,destinations/中国/辽宁省/庄河市.md,1784055,codex,2026-08-13,1
210300,researched,destinations/中国/辽宁省/鞍山市.md,2038632,codex,2026-07-30,1
210381,researched,destinations/中国/辽宁省/海城市.md,2037086,codex,2026-08-12,1
210400,researched,destinations/中国/辽宁省/抚顺市.md,2037355,codex,2026-07-31,1
210500,researched,destinations/中国/辽宁省/本溪市.md,2038300,codex,2026-07-31,1
210600,researched,destinations/中国/辽宁省/丹东市.md,2037886,codex,2026-07-31,1
210682,researched,destinations/中国/辽宁省/凤城市.md,2037411,codex,2026-08-13,1
210700,researched,destinations/中国/辽宁省/锦州市.md,2036427,codex,2026-07-31,1
210782,researched,destinations/中国/辽宁省/北镇市.md,2037201,codex,2026-08-12,1
210800,researched,destinations/中国/辽宁省/营口市.md,2033370,codex,2026-07-31,1
210882,researched,destinations/中国/辽宁省/大石桥市.md,2037823,codex,2026-08-13,1
210900,researched,destinations/中国/辽宁省/阜新市.md,2037346,codex,2026-07-31,1
211000,researched,destinations/中国/辽宁省/辽阳市.md,2036113,codex,2026-07-31,1
211100,researched,destinations/中国/辽宁省/盘锦市.md,10794003,codex,2026-07-31,1
211200,researched,destinations/中国/辽宁省/铁岭市.md,2034439,codex,2026-08-12,1
211282,researched,destinations/中国/辽宁省/开原市.md,2036337,codex,2026-08-13,1
211300,researched,destinations/中国/辽宁省/朝阳市.md,2038120,codex,2026-08-12,1
211381,researched,destinations/中国/辽宁省/北票市.md,2038342,codex,2026-08-12,1
211382,researched,destinations/中国/辽宁省/凌源市.md,2036075,codex,2026-08-13,1
211400,researched,destinations/中国/辽宁省/葫芦岛市.md,2036662,codex,2026-07-31,1
211481,researched,destinations/中国/辽宁省/兴城市.md,2033766,codex,2026-08-13,1
220100,researched,destinations/中国/吉林省/长春市.md,2038180,codex,2026-07-30,1
220182,researched,destinations/中国/吉林省/榆树市.md,2033242,codex,2026-08-13,1
220183,researched,destinations/中国/吉林省/德惠市.md,2037712,codex,2026-08-13,1
220184,researched,destinations/中国/吉林省/公主岭市.md,2037222,codex,2026-08-12,1
220200,researched,destinations/中国/吉林省/吉林市.md,2036502,codex,2026-07-30,1
220281,researched,destinations/中国/吉林省/蛟河市.md,2036536,codex,2026-08-13,1
220282,researched,destinations/中国/吉林省/桦甸市.md,2036776,codex,2026-08-13,1
220283,researched,destinations/中国/吉林省/舒兰市.md,2036418,codex,2026-08-13,1
220284,researched,destinations/中国/吉林省/磐石市.md,2035511,codex,2026-08-13,1
220300,researched,destinations/中国/吉林省/四平市.md,2034714,codex,2026-07-31,1
220382,researched,destinations/中国/吉林省/双辽市.md,2033135,codex,2026-08-13,1
220400,researched,destinations/中国/吉林省/辽源市.md,2036109,codex,2026-08-11,1
220500,researched,destinations/中国/吉林省/通化市.md,2034414,codex,2026-07-31,1
220581,researched,destinations/中国/吉林省/梅河口市.md,2035801,codex,2026-08-13,1
220600,researched,destinations/中国/吉林省/白山市.md,2038584,codex,2026-08-12,1
220681,researched,destinations/中国/吉林省/临江市.md,2036069,codex,2026-08-30,1
220700,researched,destinations/中国/吉林省/松原市.md,2035399,codex,2026-08-13,1
220781,researched,destinations/中国/吉林省/扶余市.md,2037335,codex,2026-08-13,1
220800,researched,destinations/中国/吉林省/白城市.md,2038569,codex,2026-08-12,1
220881,researched,destinations/中国/吉林省/洮南市.md,2034497,codex,2026-08-13,1
220882,researched,destinations/中国/吉林省/大安市.md,2037930,codex,2026-08-13,1
222401,researched,destinations/中国/吉林省/延吉市.md,2033467,codex,2026-08-12,1
222402,researched,destinations/中国/吉林省/图们市.md,2034340,codex,2026-08-13,1
222403,researched,destinations/中国/吉林省/敦化市.md,2037534,codex,2026-08-12,1
222404,researched,destinations/中国/吉林省/珲春市.md,2036653,codex,2026-08-13,1
222405,researched,destinations/中国/吉林省/龙井市.md,2035966,codex,2026-08-13,1
222406,researched,destinations/中国/吉林省/和龙市.md,2036933,codex,2026-08-13,1
230100,researched,destinations/中国/黑龙江省/哈尔滨市.md,2037013,codex,2026-07-30,1
230183,researched,destinations/中国/黑龙江省/尚志市.md,2035002,codex,2026-08-13,1
230184,researched,destinations/中国/黑龙江省/五常市.md,2034141,codex,2026-08-13,1
230200,researched,destinations/中国/黑龙江省/齐齐哈尔市.md,2035265,codex,2026-07-31,1
230281,researched,destinations/中国/黑龙江省/讷河市.md,2035610,codex,2026-08-13,1
230300,researched,destinations/中国/黑龙江省/鸡西市.md,2036389,codex,2026-08-12,1
230382,researched,destinations/中国/黑龙江省/密山市.md,2035746,codex,2026-08-13,1
230400,researched,destinations/中国/黑龙江省/鹤岗市.md,2036986,codex,2026-07-31,1
230500,researched,destinations/中国/黑龙江省/双鸭山市.md,2034786,codex,2026-07-31,1
230600,researched,destinations/中国/黑龙江省/大庆市.md,2037860,codex,2026-07-30,1
230700,researched,destinations/中国/黑龙江省/伊春市.md,2033413,codex,2026-08-12,1
230781,researched,destinations/中国/黑龙江省/铁力市.md,2035669,codex,2026-08-13,1
230800,researched,destinations/中国/黑龙江省/佳木斯市.md,2036581,codex,2026-07-31,1
230882,researched,destinations/中国/黑龙江省/富锦市.md,2037375,codex,2026-08-13,1
230900,researched,destinations/中国/黑龙江省/七台河市.md,2035261,codex,2026-08-12,1
231000,researched,destinations/中国/黑龙江省/牡丹江市.md,2035715,codex,2026-07-31,1
231081,researched,destinations/中国/黑龙江省/绥芬河市.md,2034657,codex,2026-08-13,1
231083,researched,destinations/中国/黑龙江省/海林市.md,2037075,codex,2026-08-12,1
231085,researched,destinations/中国/黑龙江省/穆棱市.md,2038482,codex,2026-08-30,1
231086,researched,destinations/中国/黑龙江省/东宁市.md,2037611,codex,2026-08-30,1
231100,researched,destinations/中国/黑龙江省/黑河市.md,2036973,codex,2026-08-12,1
231181,researched,destinations/中国/黑龙江省/北安市.md,2038365,codex,2026-08-12,1
231183,researched,destinations/中国/黑龙江省/嫩江市.md,2035601,codex,2026-08-13,1
231200,researched,destinations/中国/黑龙江省/绥化市.md,2034655,codex,2026-08-12,1
231281,researched,destinations/中国/黑龙江省/安达市.md,2038650,codex,2026-08-12,1
231282,researched,destinations/中国/黑龙江省/肇东市.md,2033168,codex,2026-08-12,1
231283,researched,destinations/中国/黑龙江省/海伦市.md,2037069,codex,2026-08-13,1
310000,researched,destinations/中国/上海市/上海市.md,1796236,codex,2026-07-30,1
320100,researched,destinations/中国/江苏省/南京市.md,1799962,codex,2026-07-30,1
320200,researched,destinations/中国/江苏省/无锡市.md,1790923,codex,2026-07-30,1
320281,researched,destinations/中国/江苏省/江阴市.md,1815251,codex,2026-07-30,1
320282,researched,destinations/中国/江苏省/宜兴市.md,1786760,codex,2026-07-31,1
320300,researched,destinations/中国/江苏省/徐州市.md,10630003,codex,2026-07-31,1
320381,researched,destinations/中国/江苏省/新沂市.md,1789262,codex,2026-08-12,1
320382,researched,destinations/中国/江苏省/邳州市.md,1785716,codex,2026-08-12,1
320400,researched,destinations/中国/江苏省/常州市.md,1815456,codex,2026-07-30,1
320481,researched,destinations/中国/江苏省/溧阳市.md,1802788,codex,2026-08-13,1
320500,researched,destinations/中国/江苏省/苏州市.md,1886760,codex,2026-07-30,1
320581,researched,destinations/中国/江苏省/常熟市.md,7283386,codex,2026-07-30,1
320582,researched,destinations/中国/江苏省/张家港市.md,1787331,codex,2026-07-31,1
320583,researched,destinations/中国/江苏省/昆山市.md,1785623,codex,2026-07-30,1
320585,researched,destinations/中国/江苏省/太仓市.md,1793703,codex,2026-07-31,1
320600,researched,destinations/中国/江苏省/南通市.md,1799722,codex,2026-07-30,1
320681,researched,destinations/中国/江苏省/启东市.md,1806840,codex,2026-08-13,1
320682,researched,destinations/中国/江苏省/如皋市.md,10942183,codex,2026-08-12,1
320700,researched,destinations/中国/江苏省/连云港市.md,10859300,codex,2026-07-30,1
320800,researched,destinations/中国/江苏省/淮安市.md,1797873,codex,2026-07-30,1
320900,researched,destinations/中国/江苏省/盐城市.md,1787746,codex,2026-07-31,1
320981,researched,destinations/中国/江苏省/东台市.md,1812228,codex,2026-08-12,1
321000,researched,destinations/中国/江苏省/扬州市.md,1787227,codex,2026-07-30,1
321081,researched,destinations/中国/江苏省/仪征市.md,1784580,codex,2026-08-12,1
321084,researched,destinations/中国/江苏省/高邮市.md,1810309,codex,2026-08-13,1
321100,researched,destinations/中国/江苏省/镇江市.md,1784642,codex,2026-07-31,1
321200,researched,destinations/中国/江苏省/泰州市.md,1793505,codex,2026-07-30,1
321281,researched,destinations/中国/江苏省/兴化市.md,1784820,codex,2026-08-13,1
321283,researched,destinations/中国/江苏省/泰兴市.md,1793533,codex,2026-08-13,1
321300,researched,destinations/中国/江苏省/宿迁市.md,1793771,codex,2026-07-31,1
330100,researched,destinations/中国/浙江省/杭州市.md,1808926,codex,2026-07-30,1
330200,researched,destinations/中国/浙江省/宁波市.md,1799397,codex,2026-07-30,1
330281,researched,destinations/中国/浙江省/余姚市.md,1785545,codex,2026-08-13,1
330282,researched,destinations/中国/浙江省/慈溪市.md,1806602,codex,2026-07-30,1
330300,researched,destinations/中国/浙江省/温州市.md,1791388,codex,2026-07-30,1
330381,researched,destinations/中国/浙江省/瑞安市.md,1797063,codex,2026-07-31,1
330400,researched,destinations/中国/浙江省/嘉兴市.md,1805953,codex,2026-07-31,1
330481,researched,destinations/中国/浙江省/海宁市.md,1789799,codex,2026-08-13,1
330500,researched,destinations/中国/浙江省/湖州市.md,1806535,codex,2026-07-31,1
330600,researched,destinations/中国/浙江省/绍兴市.md,1795855,codex,2026-07-30,1
330681,researched,destinations/中国/浙江省/诸暨市.md,1783940,codex,2026-08-13,1
330700,researched,destinations/中国/浙江省/金华市.md,1805528,codex,2026-07-30,1
330781,researched,destinations/中国/浙江省/兰溪市.md,1804442,codex,2026-08-13,1
330782,researched,destinations/中国/浙江省/义乌市.md,1814870,codex,2026-07-31,1
330783,researched,destinations/中国/浙江省/东阳市.md,1791056,codex,2026-08-13,1
330784,researched,destinations/中国/浙江省/永康市.md,1809412,codex,2026-07-31,1
330800,researched,destinations/中国/浙江省/衢州市.md,1797264,codex,2026-07-31,1
330900,researched,destinations/中国/浙江省/舟山市.md,1886762,codex,2026-07-31,1
331000,researched,destinations/中国/浙江省/台州市.md,8400694,codex,2026-07-30,1
331100,researched,destinations/中国/浙江省/丽水市.md,1803245,codex,2026-08-11,1
340100,researched,destinations/中国/安徽省/合肥市.md,1808722,codex,2026-07-30,1
340181,researched,destinations/中国/安徽省/巢湖市.md,1815427,codex,2026-08-13,1
340200,researched,destinations/中国/安徽省/芜湖市.md,1791236,codex,2026-07-30,1
340300,researched,destinations/中国/安徽省/蚌埠市.md,1816440,codex,2026-07-31,1
340400,researched,destinations/中国/安徽省/淮南市.md,1807681,codex,2026-07-30,1
340500,researched,destinations/中国/安徽省/马鞍山市.md,1801620,codex,2026-07-31,1
340600,researched,destinations/中国/安徽省/淮北市.md,1807700,codex,2026-07-31,1
340700,researched,destinations/中国/安徽省/铜陵市.md,1792621,codex,2026-08-12,1
340800,researched,destinations/中国/安徽省/安庆市.md,1817993,codex,2026-07-31,1
341000,researched,destinations/中国/安徽省/黄山市.md,1792359,codex,2026-07-30,1
341100,researched,destinations/中国/安徽省/滁州市.md,1814757,codex,2026-07-31,1
341182,researched,destinations/中国/安徽省/明光市.md,1800519,codex,2026-08-30,1
341200,researched,destinations/中国/安徽省/阜阳市.md,1810845,codex,2026-07-30,1
341282,researched,destinations/中国/安徽省/界首市.md,1805844,codex,2026-08-12,1
341300,researched,destinations/中国/安徽省/宿州市.md,1793743,codex,2026-07-30,1
341500,researched,destinations/中国/安徽省/六安市.md,1802206,codex,2026-07-31,1
341600,researched,destinations/中国/安徽省/亳州市.md,1816234,codex,2026-07-31,1
341700,researched,destinations/中国/安徽省/池州市.md,1814934,codex,2026-07-31,1
341800,researched,destinations/中国/安徽省/宣城市.md,1788081,codex,2026-07-31,1
341882,researched,destinations/中国/安徽省/广德市.md,1793092,codex,2026-08-12,1
350100,researched,destinations/中国/福建省/福州市.md,1810821,codex,2026-07-30,1
350200,researched,destinations/中国/福建省/厦门市.md,1790645,codex,2026-07-30,1
350300,researched,destinations/中国/福建省/莆田市.md,1798449,codex,2026-07-30,1
350400,researched,destinations/中国/福建省/三明市.md,1796663,codex,2026-07-31,1
350500,researched,destinations/中国/福建省/泉州市.md,1797353,codex,2026-07-30,1
350582,researched,destinations/中国/福建省/晋江市.md,1797658,codex,2026-07-31,1
350583,researched,destinations/中国/福建省/南安市.md,1789289,codex,2026-08-13,1
350600,researched,destinations/中国/福建省/漳州市.md,1785018,codex,2026-07-31,1
350700,researched,destinations/中国/福建省/南平市.md,1799846,codex,2026-08-11,1
350781,researched,destinations/中国/福建省/邵武市.md,1795857,codex,2026-08-13,1
350782,researched,destinations/中国/福建省/武夷山市.md,1922014,codex,2026-08-13,1
350800,researched,destinations/中国/福建省/龙岩市.md,1802276,codex,2026-07-31,1
350900,researched,destinations/中国/福建省/宁德市.md,1806097,codex,2026-08-12,1
350981,researched,destinations/中国/福建省/福安市.md,1808872,codex,2026-08-12,1
350982,researched,destinations/中国/福建省/福鼎市.md,1792585,codex,2026-08-12,1
360100,researched,destinations/中国/江西省/南昌市.md,1800163,codex,2026-07-30,1
360200,researched,destinations/中国/江西省/景德镇市.md,1805680,codex,2026-08-11,1
360300,researched,destinations/中国/江西省/萍乡市.md,1798654,codex,2026-07-31,1
360400,researched,destinations/中国/江西省/九江市.md,1805179,codex,2026-07-31,1
360500,researched,destinations/中国/江西省/新余市.md,1788508,codex,2026-07-31,1
360600,researched,destinations/中国/江西省/鹰潭市.md,1786577,codex,2026-08-12,1
360700,researched,destinations/中国/江西省/赣州市.md,1810638,codex,2026-07-30,1
360800,researched,destinations/中国/江西省/吉安市.md,1806445,codex,2026-07-31,1
360900,researched,destinations/中国/江西省/宜春市.md,1786746,codex,2026-07-31,1
361000,researched,destinations/中国/江西省/抚州市.md,1810820,codex,2026-07-31,1
361100,researched,destinations/中国/江西省/上饶市.md,1787858,codex,2026-07-31,1
370100,researched,destinations/中国/山东省/济南市.md,1805753,codex,2026-07-30,1
370200,researched,destinations/中国/山东省/青岛市.md,1797929,codex,2026-07-30,1
370281,researched,destinations/中国/山东省/胶州市.md,1806096,codex,2026-07-31,1
370283,researched,destinations/中国/山东省/平度市.md,1798821,codex,2026-07-31,1
370285,researched,destinations/中国/山东省/莱西市.md,1794479,codex,2026-08-12,1
370300,researched,destinations/中国/山东省/淄博市.md,1785286,codex,2026-07-30,1
370400,researched,destinations/中国/山东省/枣庄市.md,1785453,codex,2026-07-31,1
370500,researched,destinations/中国/山东省/东营市.md,1812101,codex,2026-07-31,1
370600,researched,destinations/中国/山东省/烟台市.md,1787093,codex,2026-07-30,1
370682,researched,destinations/中国/山东省/莱阳市.md,1804586,codex,2026-08-12,1
370683,researched,destinations/中国/山东省/莱州市.md,1804578,codex,2026-08-12,1
370685,researched,destinations/中国/山东省/招远市.md,1784953,codex,2026-08-13,1
370686,researched,destinations/中国/山东省/栖霞市.md,1797438,codex,2026-08-13,1
370700,researched,destinations/中国/山东省/潍坊市.md,1791681,codex,2026-07-30,1
370781,researched,destinations/中国/山东省/青州市.md,1786731,codex,2026-08-12,1
370782,researched,destinations/中国/山东省/诸城市.md,7602670,codex,2026-07-31,1
370783,researched,destinations/中国/山东省/寿光市.md,1794794,codex,2026-08-11,1
370784,researched,destinations/中国/山东省/安丘市.md,1817990,codex,2026-08-12,1
370785,researched,destinations/中国/山东省/高密市.md,1810458,codex,2026-08-12,1
370786,researched,destinations/中国/山东省/昌邑市.md,1815482,codex,2026-08-12,1
370800,researched,destinations/中国/山东省/济宁市.md,1805518,codex,2026-07-31,1
370881,researched,destinations/中国/山东省/曲阜市.md,1797333,codex,2026-08-13,1
370883,researched,destinations/中国/山东省/邹城市.md,1783633,codex,2026-08-12,1
370900,researched,destinations/中国/山东省/泰安市.md,1793724,codex,2026-07-30,1
370982,researched,destinations/中国/山东省/新泰市.md,1788618,codex,2026-08-12,1
370983,researched,destinations/中国/山东省/肥城市.md,1789176,codex,2026-08-13,1
371000,researched,destinations/中国/山东省/威海市.md,1791673,codex,2026-07-31,1
371082,researched,destinations/中国/山东省/荣成市.md,1786855,codex,2026-08-13,1
371100,researched,destinations/中国/山东省/日照市.md,9072919,codex,2026-07-31,1
371300,researched,destinations/中国/山东省/临沂市.md,1803318,codex,2026-07-30,1
371400,researched,destinations/中国/山东省/德州市.md,1812955,codex,2026-07-31,1
371500,researched,destinations/中国/山东省/聊城市.md,1803834,codex,2026-07-31,1
371581,researched,destinations/中国/山东省/临清市.md,1803367,codex,2026-08-13,1
371600,researched,destinations/中国/山东省/滨州市.md,1816336,codex,2026-07-31,1
371700,researched,destinations/中国/山东省/菏泽市.md,1808198,codex,2026-07-31,1
410100,researched,destinations/中国/河南省/郑州市.md,1784658,codex,2026-07-30,1
410200,researched,destinations/中国/河南省/开封市.md,1804879,codex,2026-07-30,1
410300,researched,destinations/中国/河南省/洛阳市.md,1801792,codex,2026-07-31,1
410400,researched,destinations/中国/河南省/平顶山市.md,1798827,codex,2026-07-31,1
410500,researched,destinations/中国/河南省/安阳市.md,1785294,codex,2026-07-31,1
410600,researched,destinations/中国/河南省/鹤壁市.md,1808770,codex,2026-07-31,1
410700,researched,destinations/中国/河南省/新乡市.md,1788572,codex,2026-07-31,1
410800,researched,destinations/中国/河南省/焦作市.md,1805987,codex,2026-07-31,1
410900,researched,destinations/中国/河南省/濮阳市.md,9181182,codex,2026-07-31,1
411000,researched,destinations/中国/河南省/许昌市.md,1788046,codex,2026-07-31,1
411081,researched,destinations/中国/河南省/禹州市.md,1785566,codex,2026-08-13,1
411100,researched,destinations/中国/河南省/漯河市.md,1801934,codex,2026-07-31,1
411200,researched,destinations/中国/河南省/三门峡市.md,1796669,codex,2026-07-31,1
411281,researched,destinations/中国/河南省/义马市.md,1786676,codex,2026-08-13,1
411300,researched,destinations/中国/河南省/南阳市.md,1799629,codex,2026-07-30,1
411381,researched,destinations/中国/河南省/邓州市.md,1812990,codex,2026-08-12,1
411400,researched,destinations/中国/河南省/商丘市.md,1796134,codex,2026-07-30,1
411500,researched,destinations/中国/河南省/信阳市.md,1788534,codex,2026-07-31,1
411600,researched,destinations/中国/河南省/周口市.md,1784130,codex,2026-07-31,1
411700,researched,destinations/中国/河南省/驻马店市.md,1783873,codex,2026-07-31,1
419001,researched,destinations/中国/河南省/济源市.md,1805012,codex,2026-08-12,1
420100,researched,destinations/中国/湖北省/武汉市.md,1791247,codex,2026-07-30,1
420200,researched,destinations/中国/湖北省/黄石市.md,1807234,codex,2026-07-31,1
420281,researched,destinations/中国/湖北省/大冶市.md,1813206,codex,2026-08-12,1
420300,researched,destinations/中国/湖北省/十堰市.md,1794903,codex,2026-07-30,1
420381,researched,destinations/中国/湖北省/丹江口市.md,1813828,codex,2026-08-13,1
420500,researched,destinations/中国/湖北省/宜昌市.md,1786764,codex,2026-07-31,1
420581,researched,destinations/中国/湖北省/宜都市.md,1784554,codex,2026-08-12,1
420600,researched,destinations/中国/湖北省/襄阳市.md,1790587,codex,2026-07-31,1
420682,researched,destinations/中国/湖北省/老河口市.md,1804386,codex,2026-08-12,1
420683,researched,destinations/中国/湖北省/枣阳市.md,1785462,codex,2026-08-12,1
420684,researched,destinations/中国/湖北省/宜城市.md,1786759,codex,2026-08-30,1
420700,researched,destinations/中国/湖北省/鄂州市.md,6642286,codex,2026-07-31,1
420800,researched,destinations/中国/湖北省/荆门市.md,1805611,codex,2026-07-31,1
420881,researched,destinations/中国/湖北省/钟祥市.md,1786546,codex,2026-08-13,1
420882,researched,destinations/中国/湖北省/京山市.md,1788638,codex,2026-08-13,1
420900,researched,destinations/中国/湖北省/孝感市.md,1790254,codex,2026-07-31,1
420981,researched,destinations/中国/湖北省/应城市.md,1786640,codex,2026-08-12,1
420982,researched,destinations/中国/湖北省/安陆市.md,1818016,codex,2026-08-13,1
420984,researched,destinations/中国/湖北省/汉川市.md,1808977,codex,2026-08-13,1
421000,researched,destinations/中国/湖北省/荆州市.md,1805540,codex,2026-07-31,1
421081,researched,destinations/中国/湖北省/石首市.md,1788268,codex,2026-08-13,1
421083,researched,destinations/中国/湖北省/洪湖市.md,1789137,codex,2026-08-12,1
421100,researched,destinations/中国/湖北省/黄冈市.md,8537264,codex,2026-08-12,1
421181,researched,destinations/中国/湖北省/麻城市.md,1801582,codex,2026-08-13,1
421182,researched,destinations/中国/湖北省/武穴市.md,1790894,codex,2026-08-12,1
421200,researched,destinations/中国/湖北省/咸宁市.md,1790396,codex,2026-07-31,1
421281,researched,destinations/中国/湖北省/赤壁市.md,1798473,codex,2026-08-13,1
421300,researched,destinations/中国/湖北省/随州市.md,1793879,codex,2026-07-31,1
421381,researched,destinations/中国/湖北省/广水市.md,1809879,codex,2026-08-12,1
422801,researched,destinations/中国/湖北省/恩施市.md,1811720,codex,2026-08-12,1
422802,researched,destinations/中国/湖北省/利川市.md,1803782,codex,2026-08-13,1
429004,researched,destinations/中国/湖北省/仙桃市.md,1790371,codex,2026-08-12,1
429005,researched,destinations/中国/湖北省/潜江市.md,1786067,codex,2026-08-12,1
429006,researched,destinations/中国/湖北省/天门市.md,1805618,codex,2026-08-12,1
430100,researched,destinations/中国/湖南省/长沙市.md,1815577,codex,2026-07-30,1
430200,researched,destinations/中国/湖南省/株洲市.md,1783763,codex,2026-07-31,1
430281,researched,destinations/中国/湖南省/醴陵市.md,1803616,codex,2026-08-13,1
430300,researched,destinations/中国/湖南省/湘潭市.md,1790492,codex,2026-07-31,1
430381,researched,destinations/中国/湖南省/湘乡市.md,1790471,codex,2026-08-13,1
430382,researched,destinations/中国/湖南省/韶山市.md,1795860,codex,2026-08-13,1
430400,researched,destinations/中国/湖南省/衡阳市.md,1808370,codex,2026-07-31,1
430481,researched,destinations/中国/湖南省/耒阳市.md,1804208,codex,2026-08-13,1
430500,researched,destinations/中国/湖南省/邵阳市.md,1816920,codex,2026-07-31,1
430581,researched,destinations/中国/湖南省/武冈市.md,1791272,codex,2026-08-13,1
430600,researched,destinations/中国/湖南省/岳阳市.md,1927639,codex,2026-07-31,1
430700,researched,destinations/中国/湖南省/常德市.md,1791121,codex,2026-07-30,1
430781,researched,destinations/中国/湖南省/津市市.md,1805379,codex,2026-08-13,1
430800,researched,destinations/中国/湖南省/张家界市.md,1813171,codex,2026-08-11,1
431000,researched,destinations/中国/湖南省/郴州市.md,1815059,codex,2026-07-31,1
431100,researched,destinations/中国/湖南省/永州市.md,1786217,codex,2026-07-31,1
431200,researched,destinations/中国/湖南省/怀化市.md,1807689,codex,2026-07-31,1
431300,researched,destinations/中国/湖南省/娄底市.md,1802238,codex,2026-07-31,1
431381,researched,destinations/中国/湖南省/冷水江市.md,1804169,codex,2026-08-13,1
431382,researched,destinations/中国/湖南省/涟源市.md,1804451,codex,2026-08-30,1
433101,researched,destinations/中国/湖南省/吉首市.md,1805270,codex,2026-08-13,1
440100,researched,destinations/中国/广东省/广州市.md,1809858,codex,2026-07-30,1
